ID,FIELD_INFO_ID,PARENT_ID,FIELD_NAME_EN,FIELD_NAME_CN,TABLE_NAME,FIELD_TYPE,FIELD_LENGHT,IS_NOT_NULL,REMARK,PURPOSE,DATA_SRC,IS_MULTIPLE,ORDER_FIELD_NAME_EN
10401,9000,0,ORIG_EVENT_EXT,原始事件扩展字段,mw_em_master,0,5000,1,JSON,",DISPATCH,DISPATCH-TIME,ABNORMAL,WARNING,",system,0,
10402,9001,9000,SRC_ID,采集ID,mw_em_master,0,30,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10403,9002,9000,SRC_APP_ID,服务ID,mw_em_master,0,25,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10404,9003,9000,SRC_ORG_ID,原始事件ID,mw_em_master,0,50,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10405,9004,9000,STANDARD_ALARM_NAME,告警标准名,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1407,0,
10406,9005,9000,STANDARD_FLAG,标准化标志,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1407,0,
10410,9009,0,EVENT_PROVINCE_LEVEL,省内网管告警级别,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10421,9020,0,SEND_JT_FLAG,是否需要上报集团,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,EVENT-LIST,DISPATCH_CONTENT,WARNING,",pubevent_1407,0,
10447,9047,9000,MACHINE_ROOM_INFO,机房信息,mw_em_master,0,100,1,keyword,",WARNING,",pubevent_1407,0,
10448,75,0,ALARM_RESOURCE_STATUS,工程状态,mw_em_master,5,100,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,EVENT TAG,",pubevent_1407,0,
10453,9053,0,PROJ_START_TIME,工程开始时间,mw_em_master,3,19,1,datetime,",EVENT-LIST,",pubevent_1407,0,
10454,9054,0,PROJ_END_TIME,工程结束时间,mw_em_master,3,19,1,datetime,",EVENT-LIST,",pubevent_1407,0,
10456,1000,0,EVENT_TAG,事件标签,mw_em_master,0,1000,1,json,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10457,1001,1000,IS_MATCH_DISPATCH_RULES,是否符合派单规则,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10458,1002,1000,IS_MATCH_DISPATCH_PRO_RULES,是否符合预警规则,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10459,1003,1000,IS_SEND_ORDER,是否派单,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10460,1004,1000,IS_CANCEL_ORDER,是否取消派单,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10466,1010,1000,IS_IMPORT,是否重大故障事件,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10469,2001,2000,CUSTOMER_NAME,客户名称,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10470,2002,2000,CUSTOMER_ID,客户编号,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10471,2003,2000,GCSS_CLIENT_NUM,集客客户数量,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10472,2004,2000,CUSTOMER_CATEGORY,客户类别,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10473,2005,2000,ACCOUNT_MANAGER_TEL,客户经理联系电话,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10474,2006,2000,CUSTOMER_SERVICE_LEVEL,客户服务等级,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10475,2007,2000,SERVICE_ASSURANCE_LEVEL,业务保障等级,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10476,2008,2000,LINE_TYPE,专线类型,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10477,2009,2000,PRODUCT_ID,集客产品ID,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10478,2010,2000,PRODUCT_TYPE,产品类型,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10479,2011,2000,CIRCUIT_LEVEL,电路级别,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10480,2012,2000,CIRCUIT_NAME,电路名称,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10481,2013,2000,CIRCUIT_NUMBER,电路编号,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10482,2014,2000,IMPORTANT_CLIENT,重客属性,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10483,2015,2000,IS_LINE_TICKET,是否集客工单,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10484,2016,2000,LINE_COMPOSITE_SCORE,专线综合评分,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1409,0,
10486,3001,3000,CUSTOMER_NAME,客户名称,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10487,3002,3000,CUSTOMER_ID,客户编号,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10488,3003,3000,CUSTOMER_CATEGORY,客户类别,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10489,3004,3000,ACCOUNT_MANAGER_TEL,客户经理联系电话,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10490,3005,3000,CUSTOMER_SERVICE_LEVEL,客户服务等级,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10491,3006,3000,SERVICE_ASSURANCE_LEVEL,业务保障等级,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10492,3007,3000,CUSTOMER_INDUSTRY,客户行业,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10493,3008,3000,PRIVATE_NETWORK_MODE,专网模式,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10497,4002,4000,GRID_NAME,所属网格名称,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10498,4003,4000,GRID_CODING,所属网格编码,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10499,4004,4000,INFLUENCE_CELL,影响小区,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10500,4005,4000,CELLID,小区编码,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10501,4006,4000,AFFECT_USER,影响用户总数,mw_em_master,1,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10502,4007,4000,IS_VIP,是否VIP小区/用户,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10503,4008,4000,MANAGEMENT_UNIT,管理单位名称,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
